512
0.29289912719064726 0.894287332809353 0.29289912719064726 | 0.0 -0.49800000000000005 0.0
0.29122623191398317 0.8959602280860173 0.3495597033498084 | 0.0 -0.49800000000000005 0.0
0.29095170578427976 0.8962347542157204 0.399984161533147 | 0.0 -0.49800000000000005 0.0
0.2909432774375053 0.8962431825624948 0.45000004254023146 | 0.0 -0.49800000000000005 0.0
0.2909432774375053 0.8962431825624948 0.49999995745976855 | 0.0 -0.49800000000000005 0.0
0.2909517057842797 0.8962347542157204 0.5500158384668529 | 0.0 -0.49800000000000005 0.0
0.29122623191398317 0.8959602280860173 0.6004402966501916 | 0.0 -0.49800000000000005 0.0
0.2928991271906473 0.894287332809353 0.6571008728093529 | 0.0 -0.49800000000000005 0.0
0.3495597033498084 0.8959602280860173 0.29122623191398317 | 0.0 -0.49800000000000005 0.0
0.34938252487484045 0.8978015670658545 0.34938252487484045 | 0.0 -0.49800000000000005 0.0
0.34921624291105163 0.8981749699241847 0.39998724904841526 | 0.0 -0.49800000000000005 0.0
0.349202904747273 0.8981861359332196 0.45000033958882985 | 0.0 -0.49800000000000005 0.0
0.349202904747273 0.8981861359332196 0.4999996604111703 | 0.0 -0.49800000000000005 0.0
0.34921624291105163 0.8981749699241847 0.550012750951585 | 0.0 -0.49800000000000005 0.0
0.34938252487484045 0.8978015670658545 0.6006174751251595 | 0.0 -0.49800000000000005 0.0
0.34955970334980846 0.8959602280860173 0.6587737680860172 | 0.0 -0.49800000000000005 0.0
0.399984161533147 0.8962347542157204 0.29095170578427976 | 0.0 -0.49800000000000005 0.0
0.39998724904841526 0.8981749699241847 0.34921624291105163 | 0.0 -0.49800000000000005 0.0
0.3999786531089593 0.8986172580644232 0.3999786531089593 | 0.0 -0.49800000000000005 0.0
0.3999700381867095 0.8986345480051131 0.45000081951960147 | 0.0 -0.49800000000000005 0.0
0.39997003818670956 0.8986345480051131 0.4999991804803985 | 0.0 -0.49800000000000005 0.0
0.3999786531089593 0.8986172580644232 0.5500213468910403 | 0.0 -0.49800000000000005 0.0
0.39998724904841526 0.8981749699241847 0.6007837570889485 | 0.0 -0.49800000000000005 0.0
0.3999841615331469 0.8962347542157204 0.6590482942157203 | 0.0 -0.49800000000000005 0.0
0.45000004254023146 0.8962431825624948 0.2909432774375053 | 0.0 -0.49800000000000005 0.0
0.45000033958882985 0.8981861359332196 0.349202904747273 | 0.0 -0.49800000000000005 0.0
0.45000081951960147 0.8986345480051131 0.3999700381867096 | 0.0 -0.49800000000000005 0.0
0.4500006065322593 0.8986551512011225 0.4500006065322593 | 0.0 -0.49800000000000005 0.0
0.4500006065322593 0.8986551512011225 0.49999939346774075 | 0.0 -0.49800000000000005 0.0
0.45000081951960147 0.8986345480051131 0.5500299618132907 | 0.0 -0.49800000000000005 0.0
0.45000033958882985 0.8981861359332196 0.600797095252727 | 0.0 -0.49800000000000005 0.0
0.45000004254023146 0.8962431825624948 0.6590567225624947 | 0.0 -0.49800000000000005 0.0
0.49999995745976855 0.8962431825624948 0.2909432774375053 | 0.0 -0.49800000000000005 0.0
0.4999996604111703 0.8981861359332196 0.349202904747273 | 0.0 -0.49800000000000005 0.0
0.4999991804803985 0.8986345480051131 0.39997003818670956 | 0.0 -0.49800000000000005 0.0
0.49999939346774075 0.8986551512011225 0.4500006065322593 | 0.0 -0.49800000000000005 0.0
